baseName;nodeName
Bussector;Petróleo, Gás e Biocombustíveis
Bussector;Materiais Básicos
Bussector;Bens Industriais
Bussector;Consumo não Cíclico
Bussector;Consumo Cíclico
Bussector;Saúde
Bussector;Tecnologia da Informação
Bussector;Comunicações
Bussector;Utilidade Pública
Bussector;Financeiro
Bussector;Outros
